1725,695
714,638
641,770
209,667
325,815
930,661
1142,682
1117,625
1114,797
616,661
1621,684
1725,693
714,638
643,771
208,667
1142,682
326,815
930,660
1112,798
1117,624
614,662
1621,683
1724,693
714,637
642,772
209,666
1142,682
326,812
930,660
614,663
1116,624
1112,796
1622,683
1724,693
714,638
643,772
209,664
326,813
930,661
1142,682
613,664
1116,625
1115,796
1622,682
1725,693
714,638
209,665
643,771
327,815
930,661
1142,682
612,665
1115,625
1112,797
1621,682
1726,692
715,638
209,664
643,772
326,814
930,660
1142,682
612,665
1113,626
1112,796
1622,682
490,723
1726,693
714,638
643,772
209,662
930,660
327,814
1142,682
612,665
1112,626
1112,795
1621,683
489,715
1725,692
715,637
643,772
930,660
1142,681
327,813
211,660
612,665
1111,625
1113,795
1621,681
1726,692
715,637
643,772
327,813
930,660
1142,681
610,665
211,655
1110,624
1113,796
1621,682
1726,692
716,637
643,772
328,814
930,660
1142,681
211,654
611,665
1112,796
1621,682
1110,623
1726,692
716,637
643,773
329,814
212,651
930,659
1141,681
610,664
1108,623
1113,796
1622,681
1725,692
715,638
643,773
214,650
930,659
329,814
1141,681
610,665
1105,623
1113,795
1621,682
1725,692
715,638
643,773
213,649
330,814
930,659
1141,681
610,665
1103,622
1112,796
1621,681
1722,692
715,638
643,772
214,648
930,659
331,814
1141,681
610,665
1099,623
1112,795
1621,681
1721,692
715,638
643,772
214,646
929,659
332,813
608,664
1141,682
1097,623
1112,795
1622,682
1720,692
715,638
643,772
215,645
930,659
607,664
332,813
1141,682
1096,623
1112,795
1621,683
1717,692
715,638
643,772
215,644
930,660
608,664
334,814
1141,682
1112,795
1094,622
1621,683
1715,693
714,639
643,772
215,644
930,659
608,665
335,813
1141,682
1092,622
1112,795
1621,683
714,639
643,772
1714,693
215,643
929,659
335,812
607,665
1141,681
1091,622
1112,794
1620,682
714,639
1713,693
216,643
643,772
930,660
336,812
607,665
1090,622
1142,681
1113,795
1620,683
1712,693
714,639
216,643
643,772
929,660
337,812
607,665
1142,681
1088,622
1113,794
1620,682
1709,693
714,639
643,772
216,643
929,660
608,665
1142,681
337,812
1088,623
1112,795
1621,683
1708,694
714,639
643,772
929,660
216,642
608,666
1142,681
337,811
1086,623
1113,796
1621,683
1706,694
714,639
643,772
929,660
216,642
608,665
1142,681
338,811
1086,623
1621,683
1113,795
1703,695
714,639
643,772
929,660
1143,681
216,642
608,665
1084,623
340,810
1112,796
1620,682
490,724
1701,697
714,639
643,772
929,660
1143,682
216,642
608,664
340,811
1084,623
1112,795
1621,680
643,772
714,639
929,660
1698,697
1144,682
216,641
608,664
1084,623
341,812
1114,795
1622,682
643,773
1146,682
714,639
929,660
216,641
607,664
1695,698
1084,623
343,811
1113,797
1620,682
643,773
713,639
929,660
1147,682
1694,700
607,664
215,640
1085,623
344,811
1113,796
1620,682
643,772
1691,704
713,639
929,660
1151,682
607,664
216,640
1086,623
345,811
1113,796
1620,684
1689,706
713,639
643,772
929,660
607,664
1086,623
216,641
1152,682
345,809
1112,796
1621,681
1687,707
643,772
713,639
929,659
607,664
216,641
1087,623
345,809
1153,682
1111,798
1620,681
1685,708
643,772
713,639
929,659
216,641
607,663
1088,623
346,808
1155,683
1113,798
1623,684
1683,709
643,772
928,659
714,639
217,642
608,663
1088,623
1157,684
347,809
1112,797
1621,683
218,642
643,772
714,639
1682,708
929,659
1159,684
607,663
1089,623
347,810
1112,796
1620,682
643,772
219,641
1160,684
714,639
1680,706
929,659
607,663
1089,623
348,809
1113,796
1621,682
1161,684
1681,706
643,772
714,639
929,660
221,642
608,663
348,810
1090,622
1112,795
1620,682
1680,706
1163,684
643,772
714,639
929,660
221,641
607,662
348,810
1090,623
1113,795
1621,681
1679,706
643,771
714,639
222,642
1165,684
930,660
607,663
348,809
1091,622
1112,794
1620,683
1679,705
643,772
223,641
714,639
930,660
607,663
1167,683
348,810
1092,622
1112,794
1620,683
1678,705
223,643
643,771
715,639
930,660
607,662
349,809
1168,683
1092,622
1112,795
1620,681
223,644
1680,706
714,639
643,771
930,659
606,662
349,810
1168,682
1094,622
1111,795
1622,684
222,647
1679,708
715,639
643,771
930,658
349,811
606,662
1171,684
1112,795
1094,623
1620,682
222,648
1680,708
715,639
643,771
